Project Name,Project Description,Trait,Plant ID,Value,DNA ID
26GE0001,Grain Size,DEP1,170,19-1-1,446
26GE0001,Grain Size,DEP1,171,19-1-2,447
26GE0001,Grain Size,DEP1,172,19-1-3,448
26GE0001,Grain Size,DEP1,173,19-1-4,449
25GE0049,Grain Size,TGW6,174,20-1-1,450
25GE0049,Grain Size,TGW6,175,20-1-2,451
25GE0049,Grain Size,TGW6,176,20-1-3,452
25GE0049,Grain Size,TGW6,177,20-1-4,453
25GE0049,Grain Size,TGW6,178,20-1-5,454
26GE0003,nitrogen assimilation,TCP19,179,23-2-1,455
26GE0003,nitrogen assimilation,TCP19,180,23-2-2,456
26GE0003,nitrogen assimilation,TCP19,181,23-2-3,457
26GE0003,nitrogen assimilation,TCP19,182,23-2-4,458
26GE0003,nitrogen assimilation,TCP19,183,28-1-1,459
26GE0003,nitrogen assimilation,TCP19,184,30-3-1,460
26GE0003,nitrogen assimilation,TCP19,185,30-3-2,461
25GE0047,Lodging Resistance,OsTB1,186,27-1-1,462
25GE0047,Lodging Resistance,OsTB1,187,28-3-1,463
25GE0047,Lodging Resistance,OsTB1,188,28-3-2,464
25GE0047,Lodging Resistance,OsTB1,189,28-3-3,465
25GE0047,Lodging Resistance,OsTB1,190,28-3-4,466
25GE0047,Lodging Resistance,OsTB1,191,29-5-1,467
25GE0047,Lodging Resistance,OsTB1,192,29-5-2,468
